date,customer_id,consultant_id,hours_billed,revenue_usd
2024-01-01,C001,,10,300.00
2024-01-16,C002,,1,210.00
2024-01-19,C003,,1,275.00
2024-01-19,C003,,1,741.67
2024-01-19,C003,,1,393.33
2024-01-25,C004,,1,4000.00
2024-01-31,C005,,64.16,3208.00
2024-01-31,C005,,6.5,195.00
2024-01-31,C005,,1.5,75.00
2024-01-31,C005,,5,250.00
2024-01-31,C005,,125.01,6250.50
2024-01-31,C005,,33.67,1683.50
2024-01-31,C005,,0.17,5.95
2024-01-31,C005,,29.59,887.70
2024-01-31,C005,,122.75,6137.50
2024-01-31,C005,,5,250.00
2024-01-31,C005,,3.41,170.50
2024-01-31,C005,,0.18,6.30
2024-01-31,C005,,21.5,1182.50
2024-01-31,C005,,8.83,441.50
2024-01-31,C005,,14.5,725.00
2024-01-31,C005,,16.59,829.50
2024-01-31,C005,,12.87,643.50
2024-01-31,C005,,6,330.00
2024-01-31,C005,,3.88,116.40
2024-01-31,C005,,4.17,208.50
2024-01-31,C005,,0.5,25.00
2024-01-31,C005,,6,300.00
2024-01-31,C006,,1.64,24.60
2024-01-31,C006,,14.76,221.40
2024-01-31,C006,,141.28,2119.20
2024-01-31,C007,,3.98,59.70
2024-01-31,C008,,11.36,340.80
2024-01-31,C008,,3.16,47.40
2024-01-31,C009,,67.4,3370.00
2024-01-31,C010,,115.91,3477.30
2024-01-31,C010,,44.86,672.90
2024-01-31,C011,,11.96,418.60
2024-01-31,C011,,16.31,244.65
2024-01-31,C012,,40.63,1218.90
2024-01-31,C013,,15.22,228.30
2024-01-31,C014,,28.34,425.10
2024-01-31,C015,,26,1300.00
2024-01-31,C015,,3,450.00
2024-01-31,C016,,22.95,803.25
2024-01-31,C016,,0.5,25.00
2024-01-31,C016,,78.56,2371.73
2024-01-31,C016,,23.55,1177.50
2024-01-31,C016,,102.5,1537.50
2024-02-01,C005,,3,3000.00
2024-02-01,C005,,6,6000.00
2024-02-01,C005,,2,2000.00
2024-02-01,C005,,2,2000.00
2024-02-01,C005,,2,1200.00
2024-02-01,C017,,1,2165.00
2024-02-01,C017,,11.28,564.00
2024-02-01,C011,,1,1400.00
2024-02-01,C010,,6,3600.00
2024-02-01,C010,,2,600.00
2024-02-01,C014,,1,2165.00
2024-02-01,C014,,1,650.00
2024-02-01,C006,,87.85,3074.75
2024-02-01,C006,,9.87,345.45
2024-02-01,C006,,26.23,918.05
2024-02-06,C018,,2,1200.00
2024-02-07,C017,,1,300.00
2024-02-07,C008,,1,300.00
2024-02-07,C008,,1,600.00
2024-02-08,C019,,10,300.00
2024-02-09,C020,,65,1625.00
2024-02-15,C021,,1,600.00
2024-02-16,C022,,1,3000.00
