date,user_id,user_role,action_type,count
2026-01-05,U001,admin,chat_started,3
2026-01-06,U001,admin,chat_started,4
2026-01-08,U001,admin,chat_started,1
2026-01-13,U002,admin,chat_started,4
2026-01-14,U001,admin,chat_started,2
2026-01-14,U002,admin,chat_started,9
2026-01-15,U002,admin,chat_started,2
2026-01-17,U002,admin,chat_started,2
2026-01-21,U002,admin,chat_started,1
2026-01-22,U002,admin,chat_started,1
2026-01-27,U001,admin,chat_started,1
2026-01-27,U002,admin,chat_started,1
2026-01-28,U002,admin,chat_started,1
2026-01-29,U002,admin,chat_started,3
2026-01-29,U003,admin,chat_started,3
2026-02-02,U002,admin,chat_started,1
2026-02-03,U001,admin,chat_started,3
2026-02-03,U003,admin,chat_started,1
2026-02-06,U004,analyst,chat_started,2
2026-02-10,U003,admin,chat_started,2
2026-02-11,U003,admin,chat_started,1
2026-02-13,U002,admin,chat_started,1
2026-02-17,U005,analyst,chat_started,1
2026-02-19,U001,admin,chat_started,1
2026-02-19,U002,admin,chat_started,2
2026-02-20,U002,admin,chat_started,7
2026-02-21,U002,admin,chat_started,4
2026-02-21,U006,analyst,chat_started,3
2026-02-23,U007,analyst,chat_started,1
2026-02-25,U002,admin,chat_started,1
2026-02-25,U008,admin,chat_started,1
2026-02-26,U001,admin,chat_started,1
2026-02-26,U001,admin,ai_run,2
2026-02-26,U002,admin,chat_started,2
2026-02-26,U002,admin,ai_run,33
2026-02-27,U002,admin,chat_started,1
2026-02-27,U002,admin,ai_run,21
2026-03-02,U009,analyst,chat_started,7
2026-03-02,U009,analyst,ai_run,14
2026-03-03,U002,admin,chat_started,3
2026-03-03,U002,admin,ai_run,16
2026-03-03,U010,admin,chat_started,1
2026-03-03,U010,admin,ai_run,18
2026-03-04,U002,admin,chat_started,7
2026-03-04,U002,admin,ai_run,74
2026-03-04,U003,admin,chat_started,1
2026-03-04,U003,admin,ai_run,9
2026-03-04,U010,admin,chat_started,2
2026-03-04,U010,admin,ai_run,24
2026-03-05,U003,admin,chat_started,2
2026-03-05,U003,admin,ai_run,14
2026-03-05,U006,analyst,chat_started,1
2026-03-05,U006,analyst,ai_run,2
2026-03-05,U010,admin,chat_started,1
2026-03-05,U010,admin,ai_run,11
2026-03-05,U011,analyst,chat_started,2
2026-03-05,U011,analyst,ai_run,4
2026-03-06,U002,admin,chat_started,2
2026-03-06,U002,admin,ai_run,15
2026-03-06,U012,analyst,chat_started,1
2026-03-06,U012,analyst,ai_run,2
2026-03-07,U013,analyst,chat_started,1
2026-03-07,U013,analyst,ai_run,2
2026-03-08,U012,analyst,chat_started,3
2026-03-08,U012,analyst,ai_run,6
2026-03-09,U003,admin,chat_started,6
2026-03-09,U003,admin,ai_run,18
2026-03-09,U013,analyst,chat_started,1
2026-03-09,U013,analyst,ai_run,4
2026-03-09,U014,admin,chat_started,3
2026-03-09,U014,admin,ai_run,6
2026-03-09,U015,admin,chat_started,2
2026-03-09,U015,admin,ai_run,13
2026-03-09,U016,analyst,ai_run,3
2026-03-11,U008,admin,chat_started,1
2026-03-11,U008,admin,ai_run,5
2026-03-12,U002,admin,chat_started,1
2026-03-12,U002,admin,ai_run,5
2026-03-12,U005,analyst,chat_started,1
2026-03-12,U005,analyst,ai_run,8
2026-03-12,U007,analyst,chat_started,1
2026-03-12,U007,analyst,ai_run,10
2026-03-16,U001,admin,chat_started,1
2026-03-16,U001,admin,ai_run,11
2026-03-16,U002,admin,chat_started,1
2026-03-16,U002,admin,ai_run,4
2026-03-16,U003,admin,chat_started,4
2026-03-16,U003,admin,ai_run,14
2026-03-16,U017,admin,chat_started,1
2026-03-16,U017,admin,ai_run,5
2026-03-17,U002,admin,chat_started,1
2026-03-17,U002,admin,ai_run,7
2026-03-17,U003,admin,chat_started,1
2026-03-17,U003,admin,ai_run,3
2026-03-17,U008,admin,chat_started,2
2026-03-17,U008,admin,ai_run,6
2026-03-17,U017,admin,chat_started,1
2026-03-17,U017,admin,ai_run,4
2026-03-18,U017,admin,chat_started,2
2026-03-18,U017,admin,ai_run,7
2026-03-18,U018,analyst,chat_started,1
2026-03-18,U018,analyst,ai_run,6
2026-03-19,U001,admin,chat_started,3
2026-03-19,U001,admin,ai_run,44
2026-03-19,U008,admin,chat_started,2
2026-03-19,U008,admin,ai_run,6
2026-03-19,U010,admin,chat_started,1
2026-03-19,U010,admin,ai_run,16
2026-03-19,U018,analyst,chat_started,2
2026-03-19,U018,analyst,ai_run,17
2026-03-20,U017,admin,chat_started,1
2026-03-20,U017,admin,ai_run,4
2026-03-21,U012,analyst,chat_started,2
2026-03-21,U012,analyst,ai_run,4
2026-03-21,U018,analyst,chat_started,1
2026-03-21,U018,analyst,ai_run,18
2026-03-23,U002,admin,chat_started,1
2026-03-23,U002,admin,ai_run,11
2026-03-23,U014,admin,chat_started,1
2026-03-23,U014,admin,ai_run,2
2026-03-23,U017,admin,chat_started,1
2026-03-23,U017,admin,ai_run,5
2026-03-23,U018,analyst,chat_started,1
2026-03-23,U018,analyst,ai_run,27
2026-03-24,U008,admin,chat_started,3
2026-03-24,U008,admin,ai_run,39
2026-03-24,U018,analyst,ai_run,28
2026-03-24,U019,admin,chat_started,4
2026-03-24,U019,admin,ai_run,15
2026-03-24,U020,admin,chat_started,1
2026-03-24,U020,admin,ai_run,9
2026-03-25,U002,admin,chat_started,1
2026-03-25,U002,admin,ai_run,4
2026-03-25,U003,admin,chat_started,3
2026-03-25,U003,admin,ai_run,61
2026-03-25,U012,analyst,chat_started,3
2026-03-25,U012,analyst,ai_run,40
2026-03-25,U021,analyst,chat_started,1
2026-03-25,U021,analyst,ai_run,2
2026-03-25,U022,analyst,chat_started,1
2026-03-25,U022,analyst,ai_run,3
2026-03-25,U023,analyst,chat_started,3
2026-03-25,U023,analyst,ai_run,21
2026-03-25,U024,analyst,chat_started,1
2026-03-25,U024,analyst,ai_run,4
2026-03-26,U010,admin,chat_started,5
2026-03-26,U010,admin,ai_run,73
2026-03-26,U011,analyst,chat_started,2
2026-03-26,U011,analyst,ai_run,10
2026-03-26,U012,analyst,chat_started,4
2026-03-26,U012,analyst,ai_run,34
2026-03-26,U017,admin,chat_started,1
2026-03-26,U017,admin,ai_run,3
2026-03-26,U025,analyst,chat_started,1
2026-03-26,U025,analyst,ai_run,2
2026-03-26,U026,analyst,chat_started,1
2026-03-26,U026,analyst,ai_run,2
2026-03-27,U002,admin,chat_started,3
2026-03-27,U002,admin,ai_run,49
2026-03-27,U010,admin,chat_started,7
2026-03-27,U010,admin,ai_run,151
2026-03-27,U012,analyst,chat_started,1
2026-03-27,U012,analyst,ai_run,7
2026-03-27,U016,analyst,ai_run,8
2026-03-27,U023,analyst,chat_started,5
2026-03-27,U023,analyst,ai_run,86
2026-03-27,U026,analyst,chat_started,1
2026-03-27,U026,analyst,ai_run,5
2026-03-28,U012,analyst,chat_started,1
2026-03-28,U012,analyst,ai_run,21
2026-03-29,U012,analyst,chat_started,2
2026-03-29,U012,analyst,ai_run,14
2026-03-30,U012,analyst,chat_started,2
2026-03-30,U012,analyst,ai_run,10
2026-03-30,U017,admin,chat_started,4
2026-03-30,U017,admin,ai_run,10
2026-03-30,U019,admin,chat_started,1
2026-03-30,U019,admin,ai_run,2
2026-03-30,U027,analyst,chat_started,1
2026-03-30,U027,analyst,ai_run,8
2026-03-31,U003,admin,chat_started,5
2026-03-31,U003,admin,ai_run,48
2026-03-31,U014,admin,chat_started,2
2026-03-31,U014,admin,ai_run,21
2026-03-31,U027,analyst,chat_started,1
2026-03-31,U027,analyst,ai_run,3
